TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-19 08:18:33.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,,,0.000,0.000
2022-12-19 08:18:34.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,,,0.000,0.000
2022-12-19 08:18:35.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,,,0.000,0.000
2022-12-19 08:18:36.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,0.000,0.000
2022-12-19 08:18:37.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,,,0.000,0.000
2022-12-19 08:18:38.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,,,0.000,0.000
2022-12-19 08:18:39.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE(5CA),,,,,,,,,131,Band 66,0.027,0.116,0.001,0.001
2022-12-19 08:18:39.367444,-8.761590,4.186530,,,,,,RRC Setup Start,,,,,,,,,,,,,
2022-12-19 08:18:39.368018,-8.761590,4.186530,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,
2022-12-19 08:18:39.368252,-8.761590,4.186530,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,,
2022-12-19 08:18:39.368262,-8.761590,4.186530,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,
2022-12-19 08:18:39.368468,-8.761590,4.186530,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,,,
2022-12-19 08:18:39.368480,-8.761590,4.186530,,,,,,Received RAR[True],,,,,,,,,,,,,
2022-12-19 08:18:39.369288,-8.761590,4.186530,,,,,,RRC Setup Success,,,,,,,,,,,,,
2022-12-19 08:18:39.439912,-8.761590,4.186530,,,,,,CA Config Attempt,,,,,,,,,,,,,
2022-12-19 08:18:39.474032,-8.761590,4.186530,,,,,,CA Config Success,,,,,,,,,,,,,
2022-12-19 08:18:40.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.002,0.096,0.000,0.000
2022-12-19 08:18:40.532745,-8.761590,4.186530,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:18:41.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.040,0.019,0.000,0.000
2022-12-19 08:18:42.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.050,0.043,0.000,0.000
2022-12-19 08:18:42.811295,-8.761590,4.186530,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:18:43.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.262,0.062,0.000,0.000
2022-12-19 08:18:44.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.262,0.062,0.000,0.000
2022-12-19 08:18:45.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.219,0.054,0.000,0.000
2022-12-19 08:18:46.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.262,0.019,0.000,0.000
2022-12-19 08:18:47.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.011,0.007,0.000,0.000
2022-12-19 08:18:48.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.003,0.016,0.000,0.000
2022-12-19 08:18:49.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.036,0.013,0.000,0.000
2022-12-19 08:18:50.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.007,0.037,0.000,0.000
2022-12-19 08:18:51.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.262,0.047,0.000,0.000
2022-12-19 08:18:52.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.239,0.073,0.000,0.000
2022-12-19 08:18:53.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.262,,0.000,0.000
2022-12-19 08:18:54.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.599,0.005,0.000,0.000
2022-12-19 08:18:54.882520,-8.761590,4.186530,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:18:55.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.233,0.014,0.000,0.000
2022-12-19 08:18:56.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.239,0.012,0.000,0.000
2022-12-19 08:18:57.000000,-8.761590,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.021,0.015,0.000,0.000
2022-12-19 08:18:57.434055,-8.761594,4.186530,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:18:58.000000,-8.761600,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.239,0.055,0.000,0.000
2022-12-19 08:18:59.000000,-8.761600,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.010,0.046,0.000,0.000
2022-12-19 08:19:00.000000,-8.761600,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.262,0.063,0.000,0.000
2022-12-19 08:19:01.000000,-8.761610,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.239,0.012,0.000,0.000
2022-12-19 08:19:01.963626,-8.761610,4.186530,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:02.000000,-8.761610,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.100,0.050,0.000,0.000
2022-12-19 08:19:02.830733,-8.761618,4.186530,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:03.000000,-8.761620,4.186530,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.156,0.010,0.000,0.000
2022-12-19 08:19:04.000000,-8.761620,4.186520,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.086,0.024,0.000,0.000
2022-12-19 08:19:05.000000,-8.761630,4.186520,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.138,0.029,0.000,0.000
2022-12-19 08:19:06.000000,-8.761630,4.186520,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.023,0.035,0.000,0.000
2022-12-19 08:19:06.424138,-8.761634,4.186520,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:07.000000,-8.761640,4.186520,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.039,0.064,0.000,0.000
2022-12-19 08:19:07.775606,-8.761640,4.186520,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:08.000000,-8.761640,4.186520,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.098,0.062,0.000,0.000
2022-12-19 08:19:09.000000,-8.761640,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.002,0.008,0.000,0.000
2022-12-19 08:19:09.752359,-8.761640,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:10.000000,-8.761640,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.051,0.016,0.000,0.000
2022-12-19 08:19:10.012704,-8.761640,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:10.383194,-8.761643,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:11.000000,-8.761650,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.138,,0.000,0.000
2022-12-19 08:19:12.000000,-8.761650,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.138,0.029,0.000,0.000
2022-12-19 08:19:13.000000,-8.761650,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.062,0.018,0.000,0.000
2022-12-19 08:19:14.000000,-8.761660,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.057,0.046,0.000,0.000
2022-12-19 08:19:15.000000,-8.761670,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.077,0.071,0.000,0.000
2022-12-19 08:19:16.000000,-8.761670,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.034,0.057,0.000,0.000
2022-12-19 08:19:16.440557,-8.761674,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:16.953039,-8.761680,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:17.000000,-8.761680,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.145,0.016,0.000,0.000
2022-12-19 08:19:18.000000,-8.761690,4.186510,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,131,Band 66,0.045,0.007,0.000,0.000
2022-12-19 08:19:18.523569,-8.761695,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
2022-12-19 08:19:18.931692,-8.761699,4.186510,,,,,,eventA6-r10,,,,,,,,,,,,,
