TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,Event 5G-NR Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC NR SCG Mobility Statistics Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec],LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-18 09:34:02.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.069,0.002,0.000,0.000
2022-12-18 09:34:03.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.078,0.003,0.000,0.000
2022-12-18 09:34:04.000000,-8.763920,4.189650,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,0.007,0.000,0.000
2022-12-18 09:34:05.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.066,0.003,0.000,0.000
2022-12-18 09:34:06.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.078,0.004,0.000,0.000
2022-12-18 09:34:07.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.057,,0.000,0.000
2022-12-18 09:34:08.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.070,0.002,0.000,0.000
2022-12-18 09:34:09.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.069,0.002,0.000,0.000
2022-12-18 09:34:10.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,,0.005,0.000,0.000
2022-12-18 09:34:11.000000,-8.763760,4.189660,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,92,Band 66,,,,,0.075,0.003,0.000,0.000
