HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.023,,0.091
5GNSA_5GChange,0.012,,0.08
5GNSA_5GChange,0.012,,0.106
5GNSA_4GChange,0.022,0.04,0.061
5GNSA_4GChange,0.02,0.035,0.074
5GNSA_4GChange,0.018,0.03,0.068
5GNSA_5GChange,0.013,,0.065
5GNSA_4GChange,0.018,0.037,0.068
5GNSA_4GChange,0.019,0.037,0.055
5GNSA_5GChange,0.013,,0.081
5GNSA_4GChange,0.018,0.035,0.068
5GNSA_5GChange,0.012,,0.07
5GNSA_5GChange,0.012,,0.08
5GNSA_5GChange,0.013,,0.083
5GNSA_4GChange,0.021,0.03,0.068
5GNSA_5GChange,0.011,,0.071
5GNSA_4GChange,0.018,0.029,0.067
5GNSA_5GChange,0.013,,0.072
5GNSA_5GChange,0.011,,0.068
5GNSA_4GChange,0.038,0.052,0.06
5GNSA_5GChange,0.011,,0.068
5GNSA_5GChange,0.011,,0.078
5GNSA_5GChange,0.011,,0.065
5GNSA_4GChange,0.019,0.037,0.059
5GNSA_5GChange,0.012,,0.068
5GNSA_5GChange,0.013,,0.083
5GNSA_5GChange,0.022,,0.079
5GNSA_4GChange,0.034,0.053,0.071
5GNSA_4GChange,0.022,0.033,0.059
5GNSA_5GChange,0.011,,0.062
5GNSA_4GChange,0.019,0.031,0.069
5GNSA_5GChange,0.011,,0.068
5GNSA_4GChange,0.026,0.036,0.075
5GNSA_5GChange,0.023,,0.11
5GNSA_4GChange,0.02,0.032,0.06
5GNSA_4GChange,0.02,0.038,0.071
5GNSA_5GChange,0.013,,0.08
5GNSA_4GChange,0.019,0.034,0.059
5GNSA_4GChange,0.02,0.035,0.073
5GNSA_5GChange,0.012,,0.077
5GNSA_5GChange,0.011,,0.067
5GNSA_4GChange,0.021,0.036,0.064
5GNSA_4GChange,0.019,0.033,0.072
5GNSA_4GChange,0.019,0.035,0.061
5GNSA_5GChange,0.021,,0.092
5GNSA_4GChange,0.018,0.034,0.066
5GNSA_5GChange,0.011,,0.064
5GNSA_5GChange,0.011,,0.065
5GNSA_4GChange,0.019,0.033,0.071
5GNSA_4GChange,0.022,0.035,0.06
5GNSA_5GChange,0.011,,0.066
