HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.011,,0.112
5GNSA_5GChange,0.011,,0.136
5GNSA_5GChange,0.02,,0.106
5GNSA_5GChange,0.011,,0.118
5GNSA_5GChange,0.012,,0.105
5GNSA_4GChange,0.026,0.043,0.126
5GNSA_5GChange,0.015,,0.145
5GNSA_5GChange,0.013,,0.089
5GNSA_4GChange,0.019,0.032,0.088
5GNSA_4GChange,0.018,0.029,0.098
5GNSA_5GChange,0.017,,0.142
5GNSA_4GChange,0.021,0.032,0.118
5GNSA_5GChange,0.013,,0.071
5GNSA_5GChange,0.011,,0.087
5GNSA_4GChange,0.023,0.04,0.126
5GNSA_4G5GChange,0.041,0.057,0.156
5GNSA_4GChange,0.023,0.038,0.142
5GNSA_5GChange,0.011,,0.091
5GNSA_4G5GChange,0.038,0.055,0.171
5GNSA_4GChange,0.02,0.03,0.126
5GNSA_5GChange,0.018,,0.087
5GNSA_5GChange,0.02,,0.099
5GNSA_4GChange,0.017,0.03,0.083
5GNSA_5GChange,0.011,,0.214
5GNSA_5GChange,0.018,,0.146
5GNSA_5GChange,0.022,,0.071
5GNSA_4GChange,0.023,0.039,0.135
5GNSA_5GChange,0.012,,0.08
5GNSA_5GChange,0.011,,0.094
5GNSA_5GChange,0.023,,0.083
5GNSA_4GChange,0.024,0.039,0.248
5GNSA_5GChange,0.013,,0.142
5GNSA_4G5GChange,0.025,0.041,0.07
5GNSA_5GChange,0.013,,0.129
5GNSA_4GChange,0.021,0.037,0.123
5GNSA_5GChange,0.013,,0.127
5GNSA_5GChange,0.011,,0.107
5GNSA_4GChange,0.019,0.035,0.121
5GNSA_4GChange,0.024,0.034,0.103
5GNSA_4GChange,0.025,0.041,0.119
5GNSA_5GChange,0.011,,0.08
5GNSA_5GChange,0.019,,0.103
5GNSA_5GChange,0.013,,0.066
5GNSA_4GChange,0.024,0.038,0.126
5GNSA_5GChange,0.023,,0.186
5GNSA_5GChange,0.023,,0.124
5GNSA_4GChange,0.019,0.034,0.09
5GNSA_5GChange,0.01,,0.118
5GNSA_4GChange,0.024,0.041,0.132
5GNSA_4GChange,0.019,0.03,0.093
5GNSA_5GChange,0.012,,0.101
5GNSA_4GChange,0.019,0.031,0.06
5GNSA_4GChange,0.027,0.043,0.066
5GNSA_5GChange,0.019,,0.136
5GNSA_5GChange,0.011,,0.072
5GNSA_5GChange,0.011,,0.074
5GNSA_5GChange,0.016,,0.159
5GNSA_5GChange,0.012,,0.133
5GNSA_5GChange,0.013,,0.075
5GNSA_5GChange,0.013,,0.101
5GNSA_4GChange,0.028,0.042,0.188
5GNSA_5GChange,0.013,,0.102
5GNSA_4GChange,0.023,0.041,0.11
5GNSA_5GChange,0.013,,0.075
5GNSA_4GChange,0.027,0.037,0.116
5GNSA_4GChange,0.021,0.04,0.106
5GNSA_5GChange,0.011,,0.199
5GNSA_4GChange,0.026,0.044,0.143
5GNSA_4GChange,0.023,0.035,0.084
5GNSA_4GChange,0.027,0.039,0.152
5GNSA_5GChange,0.012,,0.077
5GNSA_4G5GChange,0.023,0.034,0.119
5GNSA_5GChange,0.024,,0.265
5GNSA_5GChange,0.02,,0.127
5GNSA_4GChange,0.025,0.038,0.067
5GNSA_5GChange,0.011,,0.113
5GNSA_5GChange,0.013,,0.111
5GNSA_4GChange,0.025,0.037,0.12
