HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.019,,0.068
4G_5GNSA,0.022,0.053,0.07
5GNSA_5GChange,0.017,,0.1
5GNSA_4G,0.024,0.065,
4G_4G,0.134,0.152,
4G_5GNSA,0.025,0.055,0.135
4G_5GNSA,0.069,0.137,0.291
5GNSA_4G,0.044,0.114,
4G_4G,0.026,0.043,
4G_5GNSA,0.026,0.066,0.113
5GNSA_4GChange,0.033,0.049,0.069
5GNSA_4G,0.044,0.062,
4G_5GNSA,0.026,0.079,0.219
5GNSA_5GChange,0.019,,0.075
5GNSA_4GChange,0.027,0.036,0.046
5GNSA_4GChange,0.022,0.037,0.041
5GNSA_5GChange,0.025,,0.078
5GNSA_5GChange,0.016,,0.079
4G_5GNSA,0.02,0.062,0.062
5GNSA_4GChange,0.016,0.032,0.056
5GNSA_4GChange,0.016,0.028,0.058
5GNSA_4G,0.017,0.057,
4G_5GNSA,0.007,0.054,0.054
5GNSA_4G,0.008,0.058,
4G_4G,0.025,0.078,
4G_4G,0.025,0.042,
4G_5GNSA,0.009,0.049,0.059
5GNSA_4G,0.018,0.061,
4G_5GNSA,0.008,0.049,0.059
5GNSA_4GChange,0.044,0.059,0.066
5GNSA_4GChange,0.042,0.056,0.063
5GNSA_4G,0.017,0.061,
4G_5GNSA,0.017,0.065,0.072
5GNSA_4GChange,0.043,0.06,0.059
4G_5GNSA,0.022,0.058,0.065
4G_5GNSA,0.02,0.058,0.062
5GNSA_4GChange,0.027,0.04,0.056
5GNSA_4GChange,0.02,0.033,0.053
5GNSA_4GChange,0.02,0.037,0.053
5GNSA_4GChange,0.02,0.038,0.048
4G_4G,0.03,0.04,
4G_5GNSA,0.035,0.099,0.056
5GNSA_4G,0.034,0.053,
4G_5GNSA,0.024,0.104,0.072
5GNSA_5GChange,0.013,,0.072
5GNSA_4GChange,0.042,0.058,0.061
5GNSA_4GChange,0.019,0.035,0.059
5GNSA_4GChange,0.018,0.036,0.066
5GNSA_5GChange,0.015,,0.077
5GNSA_5GChange,0.015,,0.079
5GNSA_4G,0.012,0.042,
4G_5GNSA,0.031,0.096,0.056
5GNSA_4GChange,0.027,0.036,0.056
5GNSA_5GChange,0.013,,0.057
5GNSA_5GChange,0.012,,0.057
5GNSA_5GChange,0.018,,0.069
5GNSA_5GChange,0.012,,0.061
5GNSA_5GChange,0.013,,0.059
5GNSA_4GChange,0.025,0.041,0.051
5GNSA_4G,0.032,0.095,
4G_4G,0.077,0.09,
4G_5GNSA,0.065,0.159,0.215
5GNSA_4G,0.024,0.065,
4G_4G,0.036,0.051,
4G_5GNSA,0.024,0.062,0.066
5GNSA_5GChange,0.041,,0.102
5GNSA_4G,0.032,0.073,
4G_5GNSA,0.044,0.122,0.106
5GNSA_4G5GChange,0.018,0.031,0.051
5GNSA_4GChange,0.025,0.037,0.051
5GNSA_4GChange,0.029,0.043,0.052
5GNSA_4GChange,0.022,0.034,0.051
5GNSA_5GChange,0.012,,0.065
5GNSA_4GChange,0.018,0.037,0.051
5GNSA_5GChange,0.012,,0.057
5GNSA_5GChange,0.071,,0.112
5GNSA_5GChange,0.02,,0.089
5GNSA_5GChange,0.03,,0.091
5GNSA_4GChange,0.021,0.031,0.052
5GNSA_4G,0.038,0.102,
4G_5GNSA,0.021,0.056,0.073
4G_4G,0.027,0.04,
4G_4G,0.022,0.039,
4G_4G,0.028,0.04,
4G_5GNSA,0.065,0.127,0.225
