,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,4G_5GNSA,0.039,0.103,0.063
1,4G_5GNSA,0.027,0.085,0.233
2,5GNSA_5GChange,0.031,,0.096
3,5GNSA_4GChange,0.02,0.036,0.066
4,5GNSA_4GChange,0.018,0.035,0.065
5,5GNSA_5GChange,0.025,,0.081
6,5GNSA_5GChange,0.028,,0.089
7,5GNSA_4G,0.025,0.074,
8,4G_5GNSA,0.02,0.055,0.072
9,5GNSA_4GChange,0.019,0.032,0.056
10,5GNSA_4GChange,0.018,0.034,0.058
11,5GNSA_4GChange,0.021,0.036,0.05
12,5GNSA_5GChange,0.02,,0.072
13,5GNSA_4GChange,0.015,0.026,0.06
14,5GNSA_5GChange,0.026,,0.102
15,5GNSA_4GChange,0.029,0.043,0.062
16,5GNSA_4G,0.032,0.093,
17,4G_5GNSA,0.037,0.124,0.061
18,5GNSA_4GChange,0.034,0.051,0.072
19,5GNSA_5GChange,0.064,,0.088
20,5GNSA_4GChange,0.018,0.035,0.049
21,5GNSA_5GChange,0.013,,0.059
22,5GNSA_5GChange,0.019,,0.074
23,5GNSA_4GChange,0.026,0.041,0.058
24,5GNSA_5GChange,0.012,,0.065
25,5GNSA_5GChange,0.019,,0.069
26,5GNSA_5GChange,0.029,,0.064
27,5GNSA_4GChange,0.029,0.039,0.053
28,5GNSA_5GChange,0.037,,0.092
29,5GNSA_5GChange,0.024,,0.1
30,5GNSA_4GChange,0.018,0.032,0.06
31,5GNSA_5GChange,0.031,,0.091
32,5GNSA_4G5GChange,0.018,0.031,0.057
33,5GNSA_5GChange,0.027,,0.103
34,5GNSA_5GChange,0.026,,0.102
35,5GNSA_4G5GChange,0.022,0.033,0.053
36,5GNSA_5GChange,0.025,,0.083
37,5GNSA_5GChange,0.028,,0.091
38,5GNSA_5GChange,0.029,,0.089
39,5GNSA_5GChange,0.026,,0.097
40,5GNSA_5GChange,0.043,,0.101
41,5GNSA_4G,0.019,0.035,
42,4G_4G,0.03,0.041,
43,4G_4G,0.038,0.055,
44,4G_4G,0.022,0.04,
45,4G_4G,0.029,0.042,
46,4G_4G,0.022,0.037,
47,4G_4G,0.027,0.045,
48,4G_4G,0.03,0.049,
49,4G_4G,0.027,0.039,
50,4G_5GNSA,0.064,0.131,0.141
51,5GNSA_5GChange,0.028,,0.1
52,4G_5GNSA,0.037,0.127,0.062
53,5GNSA_5GChange,0.017,,0.081
54,5GNSA_4GChange,0.019,0.03,0.06
55,5GNSA_5GChange,0.013,,0.075
56,5GNSA_4GChange,0.017,0.035,0.063
57,5GNSA_4G,0.013,0.026,
58,4G_5GNSA,0.035,0.097,0.053
59,5GNSA_4GChange,0.025,0.041,0.054
60,5GNSA_4GChange,0.019,0.03,0.054
61,5GNSA_4GChange,0.018,0.031,0.058
62,5GNSA_4G,0.018,0.064,
63,4G_5GNSA,0.042,0.106,0.063
64,5GNSA_4GChange,0.025,0.041,0.075
65,5GNSA_4G,0.038,0.106,
66,4G_5GNSA,0.032,0.102,0.076
67,4G_5GNSA,0.044,0.105,0.069
68,5GNSA_5GChange,0.013,,0.073
69,5GNSA_5GChange,0.013,,0.072
70,4G_5GNSA,0.054,0.116,0.073
71,5GNSA_4G,0.021,0.062,
72,4G_5GNSA,0.032,0.062,0.069
73,5GNSA_4GChange,0.045,0.054,0.061
74,5GNSA_4GChange,0.019,0.035,0.049
75,5GNSA_4GChange,0.044,0.057,0.061
76,5GNSA_4GChange,0.046,0.064,0.068
77,5GNSA_4GChange,0.045,0.059,0.063
78,5GNSA_4GChange,0.045,0.059,0.063
79,5GNSA_4G,0.053,0.118,
80,4G_5GNSA,0.041,0.122,0.076
81,5GNSA_4GChange,0.019,0.036,0.05
82,5GNSA_4GChange,0.022,0.04,0.054
83,5GNSA_4GChange,0.02,0.037,0.055
84,5GNSA_4G,0.033,0.069,
85,4G_5GNSA,0.071,0.136,0.225
86,5GNSA_5GChange,0.026,,0.09
87,5GNSA_5GChange,0.031,,0.106
88,5GNSA_5GChange,0.027,,0.088
89,5GNSA_4GChange,0.02,0.032,0.049
90,4G_5GNSA,0.042,0.131,0.061
91,5GNSA_4GChange,0.021,0.033,0.053
92,5GNSA_4G,0.04,0.108,
93,4G_5GNSA,0.038,0.102,0.062
94,5GNSA_5GChange,0.013,,0.062
95,5GNSA_4GChange,0.02,0.031,0.051
96,5GNSA_4GChange,0.017,0.032,0.052
97,5GNSA_4GChange,0.019,0.031,0.055
98,5GNSA_4GChange,0.042,0.054,0.064
99,5GNSA_4GChange,0.042,0.052,0.066
100,5GNSA_5GChange,0.021,,0.071
101,5GNSA_4GChange,0.021,0.04,0.05
102,5GNSA_5GChange,0.022,,0.082
103,5GNSA_4GChange,0.029,0.04,0.052
104,5GNSA_4GChange,0.029,0.041,0.05
105,5GNSA_4GChange,0.026,0.038,0.046
106,5GNSA_4G,0.013,0.024,
107,5GNSA_4GChange,0.029,0.045,0.055
108,5GNSA_5GChange,0.023,,0.083
109,5GNSA_5GChange,0.026,,0.092
110,5GNSA_4GChange,0.031,0.046,0.047
111,5GNSA_4GChange,0.031,0.045,0.061
112,5GNSA_5GChange,0.036,,0.093
113,5GNSA_5GChange,0.036,,0.111
114,5GNSA_4GChange,0.024,0.042,0.055
115,5GNSA_5GChange,0.033,,0.095
116,5GNSA_5GChange,0.034,,0.107
117,5GNSA_4GChange,0.026,0.036,0.065
118,5GNSA_4GChange,0.021,0.036,0.053
119,5GNSA_4G,0.03,0.1,
120,4G_5GNSA,0.032,0.095,0.052
121,4G_4G,0.016,0.026,
122,4G_4G,0.018,0.03,
123,4G_5GNSA,0.032,0.095,0.051
124,5GNSA_4G,0.043,0.11,
125,4G_5GNSA,0.036,0.099,0.055
126,4G_5GNSA,0.021,0.061,0.101
127,4G_5GNSA,0.066,0.138,0.223
128,5GNSA_5GChange,0.046,,0.099
129,5GNSA_5GChange,0.041,,0.091
130,5GNSA_5GChange,0.031,,0.098
131,5GNSA_5GChange,0.028,,0.099
132,5GNSA_5GChange,0.031,,0.107
133,5GNSA_4GChange,0.021,0.032,0.066
134,5GNSA_4GChange,0.024,0.041,0.055
135,5GNSA_5GChange,0.029,,0.096
136,5GNSA_4GChange,0.029,0.044,0.048
137,5GNSA_4G,0.018,0.057,
138,4G_5GNSA,0.021,0.061,0.074
139,4G_4G,0.022,0.033,
140,4G_4G,0.031,0.044,
141,4G_4G,0.027,0.036,
142,4G_4G,0.028,0.042,
143,4G_4G,0.028,0.037,
144,4G_4G,0.026,0.043,
145,4G_5GNSA,0.036,0.096,0.056
146,5GNSA_4GChange,0.043,0.058,0.057
147,5GNSA_4GChange,0.019,0.037,0.054
148,5GNSA_4GChange,0.018,0.03,0.054
149,5GNSA_4GChange,0.02,0.032,0.049
150,4G_5GNSA,0.028,0.13,0.237
151,5GNSA_5GChange,0.032,,0.099
152,5GNSA_4GChange,0.02,0.032,0.052
153,5GNSA_5GChange,0.028,,0.086
154,5GNSA_5GChange,0.03,,0.103
155,5GNSA_5GChange,0.03,,0.108
156,5GNSA_5GChange,0.026,,0.101
157,5GNSA_4G5GChange,0.023,0.036,0.053
158,5GNSA_5GChange,0.033,,0.099
159,5GNSA_4GChange,0.034,0.047,0.056
160,5GNSA_4GChange,0.018,0.035,0.06
161,5GNSA_5GChange,0.034,,0.095
162,5GNSA_4G,0.022,0.037,
163,4G_4G,0.031,0.047,
164,4G_4G,0.022,0.034,
165,4G_4G,0.02,0.032,
166,4G_4G,0.032,0.054,
167,4G_4G,0.029,0.039,
168,4G_4G,0.031,0.045,
169,4G_4G,0.032,0.048,
170,4G_4G,0.034,0.048,
171,4G_4G,0.018,0.033,
