HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_4GChange,0.029,0.044,0.062
5GNSA_5GChange,0.015,,0.07
5GNSA_4GChange,0.039,0.051,0.062
5GNSA_5GChange,0.019,,0.077
5GNSA_4GChange,0.027,0.045,0.063
5GNSA_4G,0.04,0.053,
4G_4G,0.041,0.058,
4G_5GNSA,0.024,0.065,0.076
4G_4G,0.034,0.05,
4G_4G,0.024,0.035,
4G_4G,0.029,0.038,
5GNSA_4GChange,0.032,0.046,0.067
5GNSA_4GChange,0.051,0.066,0.077
5GNSA_5GChange,0.012,,0.078
5GNSA_5GChange,0.016,,0.07
5GNSA_5GChange,0.02,,0.074
5GNSA_5GChange,0.013,,0.072
5GNSA_4G,0.023,0.056,
4G_5GNSA,0.031,0.092,0.063
5GNSA_4G,0.013,0.047,
4G_5GNSA,0.038,0.165,0.086
5GNSA_5GChange,0.013,,0.072
5GNSA_4G,0.014,0.029,
4G_5GNSA,0.008,0.054,0.085
5GNSA_4GChange,0.047,0.059,0.073
5GNSA_4G,0.034,0.07,
5GNSA_4G,0.023,0.039,
4G_5GNSA,0.033,0.068,0.083
5GNSA_4G,0.023,0.04,
4G_5GNSA,0.034,0.073,0.107
5GNSA_4G,0.026,0.04,
4G_5GNSA,0.023,0.063,0.098
5GNSA_5GChange,0.021,,0.082
5GNSA_5GChange,0.018,,0.077
5GNSA_5GChange,0.023,,0.08
4G_5GNSA,0.025,0.065,0.106
5GNSA_4GChange,0.022,0.035,0.06
5GNSA_5GChange,0.036,,0.092
5GNSA_4GChange,0.04,0.048,0.063
5GNSA_5GChange,0.017,,0.074
5GNSA_5GChange,0.022,,0.079
5GNSA_4G,0.063,0.08,
5GNSA_5GChange,0.012,,0.069
5GNSA_5GChange,0.021,,0.082
5GNSA_5GChange,0.026,,0.079
5GNSA_4GChange,0.036,0.046,0.061
4G_5GNSA,0.025,0.063,0.088
5GNSA_4G,0.037,0.054,
4G_5GNSA,0.029,0.072,0.107
5GNSA_4G,0.026,0.039,
4G_4G,0.031,0.045,
4G_4G,0.032,0.046,
4G_5GNSA,0.042,0.106,0.071
5GNSA_4GChange,0.038,0.053,0.06
5GNSA_5GChange,0.012,,0.068
5GNSA_4GChange,0.034,0.044,0.069
5GNSA_4GChange,0.039,0.049,0.067
5GNSA_4G,0.031,0.049,
4G_4G,0.02,0.037,
4G_4G,0.035,0.044,
4G_4G,0.031,0.039,
4G_4G,0.025,0.034,
4G_5GNSA,0.024,0.08,0.098
5GNSA_4G,0.027,0.062,
4G_5GNSA,0.032,0.059,0.076
5GNSA_5GChange,0.022,,0.084
5GNSA_4GChange,0.034,0.05,0.065
5GNSA_4G,0.033,0.053,
4G_5GNSA,0.013,0.046,0.081
5GNSA_4GChange,0.039,0.053,0.078
5GNSA_4G,0.048,0.059,
4G_5GNSA,0.025,0.061,0.096
4G_4G,0.031,0.046,
4G_5GNSA,0.021,0.099,0.064
5GNSA_4GChange,0.034,0.044,0.069
5GNSA_4GChange,0.032,0.048,0.063
5GNSA_4GChange,0.034,0.043,0.068
5GNSA_5GChange,0.014,,0.072
5GNSA_4G,0.025,0.037,
4G_5GNSA,0.049,0.114,0.079
5GNSA_5GChange,0.02,,0.082
5GNSA_4G,0.052,0.068,
4G_5GNSA,0.042,0.119,0.104
5GNSA_5GChange,0.022,,0.083
5GNSA_5GChange,0.022,,0.086
5GNSA_4GChange,0.029,0.045,0.069
5GNSA_4G,0.024,0.06,
4G_5GNSA,0.017,0.056,0.071
5GNSA_4GChange,0.034,0.05,0.06
5GNSA_5GChange,0.022,,0.084
5GNSA_5GChange,0.022,,0.077
5GNSA_4GChange,0.03,0.041,0.064
5GNSA_4GChange,0.032,0.051,0.062
5GNSA_5GChange,0.018,,0.075
5GNSA_5GChange,0.012,,0.073
5GNSA_5GChange,0.021,,0.078
4G_4G,0.033,0.043,
4G_5GNSA,0.027,0.071,0.092
5GNSA_4G,0.043,0.062,
4G_5GNSA,0.032,0.065,0.075
5GNSA_4GChange,0.017,0.033,0.068
5GNSA_5GChange,0.022,,0.082
5GNSA_4G,0.035,0.05,
4G_4G,0.027,0.043,
4G_4G,0.019,0.035,
4G_4G,0.022,0.036,
4G_5GNSA,0.032,0.1,0.064
5GNSA_4GChange,0.046,0.062,0.066
5GNSA_5GChange,0.015,,0.073
5GNSA_4GChange,0.039,0.051,0.062
5GNSA_5GChange,0.014,,0.069
5GNSA_4G,0.021,0.038,
4G_4G,0.026,0.042,
4G_4G,0.034,0.044,
4G_5GNSA,0.026,0.059,0.077
5GNSA_4GChange,0.038,0.053,0.063
5GNSA_4G,0.025,0.061,
4G_5GNSA,0.02,0.058,0.089
5GNSA_4G,0.028,0.059,
4G_5GNSA,0.022,0.057,0.078
5GNSA_4G,0.061,0.075,
4G_5GNSA,0.03,0.114,0.075
5GNSA_4G,0.03,0.061,
4G_5GNSA,0.018,0.105,0.064
4G_5GNSA,0.032,0.093,0.054
4G_5GNSA,0.031,0.093,0.064
5GNSA_4G,0.038,0.057,
4G_4G,0.041,0.059,
4G_5GNSA,0.022,0.065,0.082
4G_5GNSA,0.019,0.077,0.075
5GNSA_4G,0.069,0.081,
4G_4G,0.034,0.045,
4G_4G,0.032,0.047,
5GNSA_4G,0.026,0.039,
4G_5GNSA,0.026,0.069,0.243
4G_5GNSA,0.026,0.078,0.089
4G_5GNSA,0.026,0.068,0.079
4G_5GNSA,0.032,0.06,0.101
5GNSA_4G5GChange,0.039,0.055,0.07
5GNSA_4G,0.02,0.057,
4G_5GNSA,0.02,0.11,0.1
4G_5GNSA,0.042,0.105,0.093
5GNSA_4G,0.024,0.037,
4G_5GNSA,0.018,0.054,0.062
5GNSA_4G,0.018,0.028,
4G_4G,0.042,0.058,
4G_5GNSA,0.021,0.056,0.094
5GNSA_4G,0.029,0.04,
4G_4G,0.028,0.046,
4G_4G,0.033,0.051,
4G_4G,0.038,0.048,
4G_5GNSA,0.026,0.069,0.074
5GNSA_4G,0.023,0.043,
4G_5GNSA,0.027,0.081,0.116
5GNSA_5GChange,0.018,,0.073
5GNSA_5GChange,0.023,,0.083
5GNSA_5GChange,0.014,,0.078
4G_5GNSA,0.032,0.101,0.078
5GNSA_4G,0.014,0.024,
4G_5GNSA,0.033,0.096,0.245
4G_5GNSA,0.031,0.097,0.058
5GNSA_4G,0.038,0.056,
4G_4G,0.026,0.043,
5GNSA_4G,0.04,0.058,
4G_5GNSA,0.03,0.109,0.064
4G_4G,0.04,0.055,
5GNSA_4GChange,0.02,0.033,0.064
5GNSA_4G,0.026,0.061,
4G_5GNSA,0.038,0.104,0.07
5GNSA_4GChange,0.02,0.035,0.06
5GNSA_4G,0.021,0.057,
4G_5GNSA,0.036,0.1,0.071
5GNSA_4G,0.021,0.059,
4G_4G,0.027,0.041,
4G_5GNSA,0.044,0.114,0.098
4G_5GNSA,0.043,0.11,0.094
4G_5GNSA,0.019,0.057,0.095
5GNSA_5GChange,0.023,,0.079
5GNSA_4GChange,0.019,0.03,0.067
5GNSA_5GChange,0.019,,0.078
5GNSA_5GChange,0.027,,0.088
5GNSA_4GChange,0.053,0.066,0.074
4G_4G,0.026,0.035,
4G_4G,0.027,0.039,
4G_4G,0.038,0.055,
4G_4G,0.034,0.052,
4G_4G,0.037,0.049,
4G_4G,0.029,0.044,
4G_4G,0.038,0.052,
4G_4G,0.026,0.043,
4G_4G,0.031,0.048,
4G_4G,0.034,0.049,
4G_4G,0.035,0.049,
4G_4G,0.033,0.044,
4G_4G,0.018,0.031,
4G_4G,0.027,0.043,
4G_4G,0.023,0.038,
4G_4G,0.026,0.041,
4G_4G,0.021,0.034,
4G_4G,0.036,0.051,
4G_4G,0.023,0.038,
4G_4G,0.034,0.054,
4G_4G,0.021,0.036,
4G_4G,0.031,0.042,
4G_4G,0.028,0.042,
4G_4G,0.023,0.036,
4G_4G,0.026,0.035,
4G_4G,0.029,0.038,
4G_4G,0.027,0.038,
4G_4G,0.027,0.041,
4G_4G,0.022,0.034,
4G_4G,0.028,0.039,
4G_4G,0.029,0.042,
4G_4G,0.027,0.045,0.114
5GNSA_5GChange,0.014,,0.06
4G_4G,0.028,0.045,0.144
5GNSA_4GChange,0.021,0.034,0.055
5GNSA_5GChange,0.015,,0.064
5GNSA_5GChange,0.014,,0.104
5GNSA_4G,0.043,0.059,
4G_4G,0.022,0.036,
4G_4G,0.015,0.037,
4G_4G,0.022,0.033,
4G_4G,0.013,0.031,
4G_4G,0.022,0.037,
4G_4G,0.014,0.037,
4G_4G,0.021,0.04,
4G_4G,0.014,0.035,
5GNSA_5GChange,0.016,,0.068
4G_4G,0.022,0.038,
5GNSA_5GChange,0.013,,0.062
5GNSA_4GChange,0.029,0.043,0.057
5GNSA_5GChange,0.016,,0.063
5GNSA_4GChange,0.016,0.027,0.059
4G_4G,0.019,0.037,
4G_4G,0.016,0.027,
4G_4G,0.019,0.036,
4G_4G,0.014,0.031,
4G_4G,0.041,0.058,
4G_4G,0.015,0.024,
4G_4G,0.027,0.046,
4G_4G,0.017,0.027,0.114
5GNSA_4G,0.023,0.037,
4G_4G,0.015,0.036,
5GNSA_4G,0.023,0.037,
4G_4G,0.012,0.022,
4G_4G,0.027,0.038,
4G_4G,0.028,0.044,
4G_4G,0.028,0.041,
4G_4G,0.025,0.043,
4G_4G,0.028,0.05,
4G_4G,0.02,0.032,
4G_4G,0.015,0.034,
4G_4G,0.021,0.032,
