HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
4G_5GNSA,0.02,0.064,0.07
5GNSA_4GChange,0.038,0.055,0.059
5GNSA_4G,0.042,0.105,
4G_5GNSA,0.033,0.099,0.064
5GNSA_5GChange,0.013,,0.072
4G_5GNSA,0.042,0.111,0.068
5GNSA_5GChange,0.01,,0.069
5GNSA_5GChange,0.011,,0.072
5GNSA_4GChange,0.021,0.04,0.066
5GNSA_4GChange,0.022,0.032,0.062
5GNSA_5GChange,0.01,,0.063
5GNSA_5GChange,0.016,,0.07
5GNSA_5GChange,0.012,,0.07
5GNSA_5GChange,0.012,,0.067
5GNSA_4G5GChange,0.021,0.037,0.063
5GNSA_4G5GChange,0.023,0.036,0.063
5GNSA_5GChange,0.013,,0.084
5GNSA_5GChange,0.024,,0.089
5GNSA_5GChange,0.011,,0.071
5GNSA_5GChange,0.014,,0.069
5GNSA_5GChange,0.067,,0.106
4G_5GNSA,0.022,0.059,0.072
5GNSA_4GChange,0.017,0.034,0.051
5GNSA_4G,0.019,0.059,
4G_5GNSA,0.02,0.063,0.23
5GNSA_5GChange,0.013,,0.062
5GNSA_4GChange,0.02,0.039,0.052
5GNSA_4G,0.027,0.07,
4G_4G,0.031,0.044,
4G_5GNSA,0.021,0.06,0.074
5GNSA_4GChange,0.026,0.038,0.13
5GNSA_5GChange,0.011,,0.068
5GNSA_5GChange,0.022,,0.07
5GNSA_5GChange,0.011,,0.055
4G_5GNSA,0.019,0.055,0.074
5GNSA_4GChange,0.046,0.059,0.063
5GNSA_4GChange,0.043,0.056,0.065
5GNSA_4GChange,0.021,0.034,0.053
5GNSA_4G,0.033,0.073,
4G_5GNSA,0.072,0.141,0.231
5GNSA_4G,0.02,0.064,
4G_5GNSA,0.021,0.061,0.071
5GNSA_4GChange,0.048,0.064,0.073
4G_5GNSA,0.027,0.112,0.067
5GNSA_5GChange,0.021,,0.069
5GNSA_4GChange,0.02,0.033,0.05
5GNSA_4GChange,0.022,0.038,0.055
5GNSA_5GChange,0.017,,0.064
5GNSA_4G,0.027,0.071,
4G_4G,0.042,0.059,
4G_5GNSA,0.021,0.061,0.065
5GNSA_5GChange,0.012,,0.067
4G_5GNSA,0.02,0.057,0.071
5GNSA_4GChange,0.021,0.032,0.065
5GNSA_5GChange,0.051,,0.077
5GNSA_4G5GChange,0.019,0.034,0.054
5GNSA_4G,0.03,0.047,
4G_4G,0.024,0.034,
4G_5GNSA,0.019,0.063,0.068
5GNSA_5GChange,0.012,,0.063
