,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,5GSA_5GSA,,,0.048
1,5GSA_5GSA,,,0.049
2,5GSA_5GSA,,,0.049
3,5GSA_5GSA,,,0.048
4,5GSA_5GSA,,,0.049
5,5GSA_5GSA,,,0.048
6,5GSA_5GSA,,,0.047
7,5GSA_5GSA,,,0.048
8,5GSA_5GSA,,,0.05
9,5GSA_5GSA,,,0.049
10,5GSA_5GSA,,,0.049
11,5GSA_5GSA,,,0.048
12,5GSA_5GSA,,,0.048
13,5GSA_5GSA,,,0.048
14,5GSA_5GSA,,,0.049
15,5GSA_5GSA,,,0.049
16,5GSA_5GSA,,,0.049
17,5GSA_5GSA,,,0.047
18,5GSA_5GSA,,,0.048
19,5GSA_5GSA,,,0.048
20,5GSA_5GSA,,,0.046
21,5GSA_5GSA,,,0.049
22,5GSA_5GSA,,,0.048
23,5GSA_5GSA,,,0.049
24,5GSA_5GSA,,,0.051
25,5GSA_5GSA,,,0.049
26,5GSA_5GSA,,,0.048
27,5GSA_5GSA,,,0.049
28,5GSA_5GSA,,,0.048
29,5GSA_5GSA,,,0.049
30,5GSA_5GSA,,,0.048
31,5GSA_5GSA,,,0.082
32,5GSA_5GSA,,,0.048
33,5GSA_5GSA,,,0.043
34,5GSA_5GSA,,,0.048
35,5GSA_5GSA,,,0.049
36,5GSA_5GSA,,,0.048
37,5GSA_5GSA,,,0.048
38,5GSA_5GSA,,,0.048
39,5GSA_5GSA,,,0.048
40,5GSA_5GSA,,,0.049
41,5GSA_5GSA,,,0.049
42,5GSA_5GSA,,,0.048
43,5GSA_5GSA,,,0.049
44,5GSA_5GSA,,,0.048
45,5GSA_5GSA,,,0.049
46,5GSA_5GSA,,,0.049
47,5GSA_5GSA,,,0.047
48,5GSA_5GSA,,,0.048
49,5GSA_5GSA,,,0.053
50,5GSA_5GSA,,,0.048
51,5GSA_5GSA,,,0.05
52,5GSA_5GSA,,,0.047
53,5GSA_5GSA,,,0.049
54,5GSA_5GSA,,,0.049
55,5GSA_5GSA,,,0.048
56,5GSA_5GSA,,,0.046
57,5GSA_5GSA,,,0.049
58,5GSA_5GSA,0.013,,0.052
59,5GNSA_5GChange,0.012,,0.405
60,5GNSA_4GChange,0.02,0.036,0.082
61,5GNSA_5GChange,0.012,,0.12
62,5GNSA_4GChange,0.026,0.041,0.177
63,5GNSA_5GChange,0.011,,0.136
64,5GNSA_5GChange,0.012,,0.14
65,5GNSA_5GChange,0.014,,0.094
66,5GSA_5GSA,,,0.048
