,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,4G_4G,0.025,0.036,
1,4G_4G,0.028,0.047,
2,4G_4G,0.032,0.052,
3,4G_4G,0.027,0.042,
4,4G_4G,0.021,0.036,
5,4G_4G,0.02,0.039,
6,4G_4G,0.019,0.037,
7,4G_4G,0.018,0.026,
8,4G_4G,0.014,0.03,
9,4G_4G,0.017,0.035,
10,4G_4G,0.019,0.036,
11,4G_4G,0.019,0.028,
12,4G_4G,0.017,0.033,
13,4G_4G,0.024,0.038,
14,4G_4G,0.028,0.039,
15,4G_4G,0.027,0.042,
16,4G_4G,0.023,0.04,
17,4G_4G,0.031,0.051,
18,4G_4G,0.022,0.039,
19,4G_4G,0.029,0.041,
20,4G_4G,0.023,0.036,
21,4G_4G,0.026,0.037,
22,4G_4G,0.027,0.037,
23,4G_4G,0.027,0.039,
24,4G_4G,0.024,0.039,
25,4G_4G,0.021,0.033,
26,4G_4G,0.022,0.038,
27,4G_4G,0.019,0.032,
28,4G_4G,0.023,0.034,
29,4G_4G,0.02,0.032,
30,4G_4G,0.031,0.049,
31,4G_4G,0.028,0.044,
32,4G_4G,0.03,0.045,
33,4G_4G,0.029,0.039,
34,4G_4G,0.031,0.044,
35,4G_4G,0.03,0.05,
36,4G_4G,0.03,0.044,
37,4G_4G,0.028,0.041,
38,4G_4G,0.027,0.037,
39,4G_4G,0.022,0.04,
40,4G_4G,0.022,0.036,
41,4G_4G,0.038,0.055,
42,4G_4G,0.032,0.044,
43,4G_4G,0.024,0.034,
44,4G_4G,0.021,0.032,
45,4G_4G,0.02,0.037,
46,4G_4G,0.025,0.042,
47,4G_4G,0.024,0.04,
48,4G_4G,0.027,0.036,
49,4G_4G,0.015,0.029,
50,4G_4G,0.032,0.044,
51,4G_4G,0.025,0.042,
52,4G_4G,0.026,0.044,
53,4G_4G,0.032,0.048,
54,4G_4G,0.03,0.044,
55,4G_4G,0.028,0.042,
56,4G_4G,0.026,0.037,
57,4G_4G,0.022,0.041,
58,4G_4G,0.03,0.042,
59,4G_4G,0.037,0.053,
60,4G_4G,0.03,0.045,
61,4G_4G,0.028,0.042,
62,4G_4G,0.024,0.04,
63,4G_4G,0.032,0.046,
64,4G_4G,0.024,0.036,
65,4G_4G,0.027,0.036,
66,4G_4G,0.024,0.037,
67,4G_4G,0.025,0.043,
68,4G_4G,0.032,0.047,
69,4G_4G,0.028,0.042,
70,4G_4G,0.018,0.031,
71,4G_4G,0.019,0.035,
72,4G_4G,0.027,0.038,
73,4G_4G,0.026,0.037,
74,4G_4G,0.027,0.044,
75,4G_4G,0.023,0.036,
76,4G_4G,0.024,0.04,
77,4G_4G,0.022,0.036,
78,4G_4G,0.019,0.036,
79,4G_4G,0.024,0.034,
80,4G_4G,0.019,0.036,
81,4G_4G,0.03,0.049,
82,4G_4G,0.043,0.061,
83,4G_4G,0.036,0.055,
84,4G_4G,0.027,0.037,
85,4G_4G,0.024,0.034,
86,4G_4G,0.023,0.037,
87,4G_4G,0.026,0.039,
88,4G_4G,0.025,0.038,
89,4G_4G,0.029,0.046,
90,4G_4G,0.023,0.039,
91,4G_4G,0.028,0.044,
92,4G_4G,0.028,0.046,
93,4G_4G,0.025,0.036,
94,4G_4G,0.022,0.033,
95,4G_4G,0.02,0.033,
96,4G_4G,0.026,0.038,
97,4G_4G,0.022,0.039,
98,4G_4G,0.024,0.039,
99,4G_4G,0.024,0.041,
100,4G_4G,0.024,0.035,
101,4G_4G,0.029,0.046,
102,4G_4G,0.026,0.043,
103,4G_4G,0.029,0.042,
104,4G_4G,0.027,0.041,
105,4G_4G,0.032,0.044,
106,4G_4G,0.024,0.034,
107,4G_4G,0.025,0.035,
108,4G_4G,0.019,0.033,
109,4G_4G,0.028,0.045,
110,4G_4G,0.04,0.052,
111,4G_4G,0.031,0.042,
112,4G_4G,0.03,0.046,
113,4G_4G,0.031,0.04,
114,4G_4G,0.03,0.043,
115,4G_4G,0.027,0.045,
116,4G_4G,0.039,0.05,
117,4G_4G,0.03,0.044,
118,4G_4G,0.032,0.047,
119,4G_4G,0.024,0.035,
120,4G_4G,0.028,0.04,
121,4G_4G,0.036,0.047,
122,4G_4G,0.024,0.035,
123,4G_4G,0.026,0.045,
124,4G_4G,0.034,0.048,
125,4G_4G,0.025,0.042,
126,4G_4G,0.025,0.073,
127,4G_4G,0.026,0.038,
128,4G_4G,0.036,0.051,
129,4G_4G,0.035,0.046,
130,4G_4G,0.031,0.048,
131,4G_4G,0.025,0.054,
132,4G_4G,0.029,0.041,
133,4G_4G,0.028,0.045,
134,4G_4G,0.026,0.038,
135,4G_4G,0.021,0.031,
136,4G_4G,0.027,0.041,
137,4G_4G,0.026,0.04,
138,4G_4G,0.023,0.037,
139,4G_4G,0.026,0.04,
140,4G_4G,0.03,0.046,
141,4G_4G,0.026,0.037,
142,4G_4G,0.031,0.047,
143,4G_4G,0.026,0.038,
144,4G_4G,0.038,0.056,
145,4G_4G,0.032,0.053,
146,4G_4G,0.031,0.045,
147,4G_4G,0.033,0.047,
148,4G_4G,0.027,0.039,
149,4G_4G,0.021,0.029,
150,4G_4G,0.015,0.027,
151,4G_4G,0.029,0.042,
152,4G_4G,0.029,0.043,
153,4G_4G,0.031,0.041,
154,4G_4G,0.024,0.038,
155,4G_4G,0.031,0.044,
156,4G_4G,0.024,0.038,
157,4G_4G,0.03,0.04,
158,4G_4G,0.032,0.044,
159,4G_4G,0.034,0.052,
160,4G_4G,0.024,0.062,
161,4G_4G,0.025,0.039,
162,4G_4G,0.028,0.038,
163,4G_4G,0.033,0.047,
164,4G_4G,0.03,0.05,
165,4G_4G,0.022,0.031,
166,4G_4G,0.025,0.036,
167,4G_4G,0.026,0.039,
168,4G_4G,0.028,0.041,
169,4G_4G,0.029,0.046,
170,4G_4G,0.028,0.046,
171,4G_4G,0.027,0.042,
172,4G_4G,0.024,0.036,
173,4G_4G,0.026,0.044,
174,4G_4G,0.027,0.038,
175,4G_4G,0.029,0.048,
176,4G_4G,0.03,0.047,
177,4G_4G,0.023,0.032,
178,4G_4G,0.024,0.032,
179,4G_4G,0.018,0.026,
180,4G_4G,0.017,0.029,
181,4G_4G,0.024,0.039,
182,4G_4G,0.026,0.042,
183,4G_4G,0.031,0.041,
184,4G_4G,0.024,0.036,
185,4G_4G,0.024,0.043,
186,4G_4G,0.028,0.038,
187,4G_4G,0.027,0.045,
188,4G_4G,0.023,0.039,
189,4G_4G,0.029,0.046,
190,4G_4G,0.029,0.043,
191,4G_4G,0.018,0.035,
192,4G_4G,0.033,0.051,
193,4G_4G,0.035,0.048,
194,4G_4G,0.017,0.031,
195,4G_4G,0.018,0.037,
196,4G_4G,0.023,0.035,
197,4G_4G,0.029,0.044,
198,4G_4G,0.029,0.047,
199,4G_4G,0.024,0.036,
200,4G_4G,0.04,0.056,
201,4G_4G,0.031,0.04,
202,4G_4G,0.042,0.056,
203,4G_4G,0.03,0.042,
204,4G_4G,0.026,0.038,
205,4G_4G,0.025,0.041,
206,4G_4G,0.032,0.045,
207,4G_4G,0.025,0.04,
208,4G_4G,0.027,0.041,
209,4G_4G,0.022,0.04,
210,4G_4G,0.027,0.046,
211,4G_4G,0.035,0.051,
212,4G_4G,0.033,0.046,
213,4G_4G,0.015,0.028,
214,4G_4G,0.019,0.029,
215,4G_4G,0.018,0.033,
216,4G_4G,0.035,0.047,
217,4G_4G,0.028,0.047,
218,4G_4G,0.03,0.047,
219,4G_4G,0.025,0.042,
220,4G_4G,0.028,0.042,
221,4G_4G,0.041,0.055,
222,4G_4G,0.027,0.036,
223,4G_4G,0.027,0.045,
224,4G_4G,0.04,0.049,
225,4G_4G,0.027,0.044,
226,4G_4G,0.017,0.033,
227,4G_4G,0.021,0.034,
228,4G_4G,0.019,0.03,
229,4G_4G,0.017,0.027,
230,4G_4G,0.022,0.033,
231,4G_4G,0.017,0.068,
232,4G_4G,0.016,0.033,
233,4G_4G,0.019,0.116,
234,4G_4G,0.024,0.037,
235,4G_4G,0.015,0.027,
236,4G_4G,0.016,0.025,
237,4G_4G,0.016,0.027,
238,4G_4G,0.015,0.029,
239,4G_4G,0.025,0.034,
240,4G_4G,0.025,0.035,
241,4G_4G,0.021,0.04,
242,4G_4G,0.021,0.038,
243,4G_4G,0.019,0.027,
244,4G_4G,0.03,0.048,
245,4G_4G,0.033,0.046,
246,4G_4G,0.025,0.037,
247,4G_4G,0.024,0.036,
248,4G_4G,0.016,0.035,
249,4G_4G,0.025,0.039,
250,4G_4G,0.019,0.031,
251,4G_4G,0.022,0.034,
252,4G_4G,0.022,0.031,
253,4G_4G,0.017,0.035,
254,4G_4G,0.021,0.035,
255,4G_4G,0.019,0.032,
