,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
141,5GNSA_5GChange,0.018,,0.077
142,5GNSA_5GChange,0.016,,0.074
143,5GNSA_4G,0.031,0.065,
144,4G_5GNSA,0.033,0.07,0.079
145,5GNSA_5GChange,0.015,,0.067
146,5GNSA_5GChange,0.016,,0.074
147,5GNSA_5GChange,0.02,,0.069
148,5GNSA_5GChange,0.026,,0.077
149,5GNSA_4GChange,0.024,0.034,0.058
150,5GNSA_5GChange,0.017,,0.07
151,5GNSA_5GChange,0.022,,0.077
152,5GNSA_5GChange,0.023,,0.078
153,5GNSA_5GChange,0.024,,0.081
154,5GNSA_5GChange,0.021,,0.077
155,5GNSA_5GChange,0.015,,0.077
156,5GNSA_5GChange,0.022,,0.078
157,5GNSA_4GChange,0.041,0.058,0.062
158,5GNSA_4GChange,0.062,0.075,0.083
159,5GNSA_4GChange,0.024,0.058,0.086
160,5GNSA_5GChange,0.015,,0.077
161,5GNSA_4GChange,0.043,0.06,0.064
162,5GNSA_4G,0.02,0.034,
163,4G_5GNSA,0.007,0.047,0.064
164,5GNSA_5GChange,0.014,,0.075
165,4G_4G,0.042,0.054,
166,4G_5GNSA,0.025,0.063,0.072
167,5GNSA_5GChange,0.017,,0.068
168,4G_5GNSA,0.023,0.06,0.114
169,5GNSA_4GChange,0.053,0.063,0.07
170,5GNSA_5GChange,0.013,,0.072
171,5GNSA_5GChange,0.013,,0.066
172,5GNSA_5GChange,0.013,,0.067
173,5GNSA_4G,0.011,0.023,
174,4G_5GNSA,0.016,0.045,0.062
175,5GNSA_4GChange,0.052,0.065,0.11
176,5GNSA_5GChange,0.036,,0.091
177,5GNSA_4GChange,0.057,0.09,0.077
178,4G_4G,0.026,0.038,
179,4G_4G,0.038,0.054,
180,4G_4G,0.038,0.053,
181,4G_5GNSA,0.025,0.064,0.091
182,5GNSA_5GChange,0.015,,0.068
183,5GNSA_4GChange,0.056,0.067,0.084
184,5GNSA_4GChange,0.049,0.068,0.076
185,5GNSA_5GChange,0.015,,0.07
186,5GNSA_5GChange,0.016,,0.179
187,4G_5GNSA,0.042,0.137,0.071
188,5GNSA_5GChange,0.013,,0.075
189,5GNSA_5GChange,0.014,,0.07
190,5GNSA_5GChange,0.014,,0.074
191,5GNSA_5GChange,0.022,,0.081
192,4G_5GNSA,0.025,0.072,0.119
193,4G_5GNSA,0.027,0.07,0.087
194,5GNSA_5GChange,0.015,,0.07
195,5GNSA_4GChange,0.02,0.03,0.064
196,5GNSA_4GChange,0.034,0.047,0.057
