HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.014,,0.069
4G_4G,0.039,0.054,
4G_5GNSA,0.02,0.064,0.071
4G_4G,0.021,0.031,
5GNSA_4G,0.022,0.039,
4G_5GNSA,0.043,0.112,0.066
5GNSA_4G,0.035,0.049,
4G_4G,0.027,0.042,
4G_4G,0.057,0.074,
4G_5GNSA,0.042,0.109,0.071
5GNSA_4GChange,0.04,0.055,0.067
5GNSA_4GChange,0.05,0.069,0.076
5GNSA_5GChange,0.014,,0.078
5GNSA_5GChange,0.016,,0.071
4G_5GNSA,0.021,0.055,0.072
4G_5GNSA,0.039,0.103,0.071
5GNSA_5GChange,0.015,,0.074
4G_5GNSA,0.021,0.057,0.075
5GNSA_5GChange,0.019,,0.075
4G_4G,0.028,0.042,
4G_5GNSA,0.017,0.056,0.073
5GNSA_5GChange,0.018,,0.074
5GNSA_5GChange,0.021,,0.078
5GNSA_5GChange,0.016,,0.071
5GNSA_5GChange,0.021,,0.079
5GNSA_5GChange,0.014,,0.072
5GNSA_5GChange,0.02,,0.081
5GNSA_5GChange,0.019,,0.072
4G_5GNSA,0.021,0.06,0.075
5GNSA_5GChange,0.023,,0.084
5GNSA_5GChange,0.013,,0.073
5GNSA_5GChange,0.016,,0.078
5GNSA_4GChange,0.023,0.038,0.068
5GNSA_5GChange,0.013,,0.071
5GNSA_5GChange,0.019,,0.082
5GNSA_5GChange,0.021,,0.085
5GNSA_5GChange,0.016,,0.074
5GNSA_5GChange,0.022,,0.08
4G_4G,0.036,0.054,
4G_4G,0.024,0.036,
4G_4G,0.017,0.028,
4G_4G,0.024,0.033,
5GNSA_4G,0.021,0.032,
4G_5GNSA,0.021,0.058,0.113
5GNSA_5GChange,0.022,,0.077
4G_5GNSA,0.03,0.069,0.083
5GNSA_4GChange,0.049,0.06,0.07
5GNSA_5GChange,0.024,,0.074
5GNSA_5GChange,0.014,,0.071
5GNSA_5GChange,0.023,,0.079
4G_5GNSA,0.029,0.067,0.121
5GNSA_5GChange,0.024,,0.075
5GNSA_5GChange,0.014,,0.067
5GNSA_5GChange,0.021,,0.071
5GNSA_5GChange,0.015,,0.067
5GNSA_5GChange,0.022,,0.079
5GNSA_5GChange,0.023,,0.077
5GNSA_4GChange,0.043,0.058,0.065
5GNSA_5GChange,0.015,,0.074
5GNSA_5GChange,0.023,,0.076
5GNSA_5GChange,0.032,,0.086
5GNSA_5GChange,0.014,,0.068
5GNSA_4GChange,0.048,0.066,0.07
5GNSA_4GChange,0.046,0.057,0.071
5GNSA_5GChange,0.017,,0.074
5GNSA_5GChange,0.056,,0.116
5GNSA_5GChange,0.025,,0.078
5GNSA_5GChange,0.014,,0.068
5GNSA_5GChange,0.016,,0.077
5GNSA_4GChange,0.049,0.065,0.069
5GNSA_4GChange,0.047,0.064,0.071
