,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,4G_4G,0.019,0.037,
1,4G_4G,0.019,0.038,
2,4G_4G,0.019,0.037,
3,4G_4G,0.018,0.029,
4,4G_4G,0.019,0.029,
5,4G_4G,0.019,0.038,
6,4G_4G,0.019,0.037,
7,4G_4G,0.021,0.037,
8,4G_4G,0.019,0.037,
9,4G_4G,0.018,0.034,
10,4G_4G,0.019,0.034,
11,4G_4G,0.02,0.038,
12,4G_4G,0.021,0.043,
13,4G_4G,0.017,0.027,
14,4G_4G,0.019,0.031,
15,4G_4G,0.045,0.06,
16,4G_4G,0.018,0.029,
17,4G_4G,0.019,0.038,
18,4G_4G,0.019,0.038,
19,4G_4G,0.02,0.037,
20,4G_4G,0.019,0.049,
21,4G_4G,0.02,0.038,
22,4G_4G,0.018,0.027,
23,4G_4G,0.02,0.036,
24,4G_4G,0.018,0.028,
25,4G_4G,0.019,0.039,
26,4G_4G,0.018,0.029,
27,4G_4G,0.019,0.034,
28,4G_4G,0.018,0.029,
29,4G_4G,0.019,0.033,
30,4G_4G,0.019,0.038,
31,4G_4G,0.019,0.039,
32,4G_4G,0.019,0.037,
33,4G_4G,0.018,0.029,
34,4G_4G,0.018,0.033,
35,4G_4G,0.02,0.039,
36,4G_4G,0.019,0.038,
37,4G_4G,0.018,0.03,
38,4G_4G,0.02,0.038,
39,4G_4G,0.018,0.028,
40,4G_4G,0.019,0.037,
41,4G_4G,0.019,0.038,
42,4G_4G,0.019,0.03,
43,4G_4G,0.019,0.037,
44,4G_4G,0.017,0.033,
45,4G_4G,0.019,0.029,
46,4G_4G,0.018,0.029,
47,4G_4G,0.02,0.032,
48,4G_4G,0.021,0.052,
49,4G_4G,0.019,0.039,
50,4G_4G,0.014,0.031,
51,4G_4G,0.023,0.04,
52,4G_4G,0.013,0.026,
53,4G_4G,0.019,0.029,
54,4G_4G,0.018,0.035,
55,4G_4G,0.018,0.027,
56,4G_4G,0.018,0.032,
57,4G_4G,0.019,0.033,
58,4G_4G,0.019,0.031,
59,4G_4G,0.018,0.027,
