,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,4G_4G,0.02,0.029,
1,4G_4G,0.021,0.03,
2,4G_4G,0.021,0.036,
3,4G_4G,0.029,0.041,
4,4G_4G,0.019,0.029,
5,4G_4G,0.022,0.032,
6,4G_4G,0.02,0.037,
7,4G_4G,0.019,0.031,
8,4G_4G,0.02,0.033,
9,4G_4G,0.018,0.03,
10,4G_4G,0.02,0.035,
11,4G_4G,0.019,0.034,
12,4G_4G,0.02,0.029,
13,4G_4G,0.019,0.029,
14,4G_4G,0.019,0.036,
15,4G_4G,0.027,0.038,
16,4G_4G,0.027,0.042,
17,4G_4G,0.028,0.036,
18,4G_4G,0.03,0.045,
19,4G_4G,0.031,0.061,
20,4G_4G,0.026,0.041,
21,4G_4G,0.03,0.042,
22,4G_4G,0.025,0.036,
23,4G_4G,0.028,0.045,
24,4G_4G,0.031,0.05,
25,4G_4G,0.03,0.048,
26,4G_4G,0.021,0.039,
27,4G_4G,0.021,0.037,
28,4G_4G,0.031,0.045,
29,4G_4G,0.018,0.032,
30,4G_4G,0.025,0.036,
31,4G_4G,0.021,0.034,
32,4G_4G,0.032,0.046,
33,4G_4G,0.03,0.045,
34,4G_4G,0.038,0.05,
35,4G_4G,0.026,0.043,
36,4G_4G,0.032,0.046,
37,4G_4G,0.032,0.043,
38,4G_4G,0.032,0.044,
39,4G_4G,0.042,0.056,
40,4G_4G,0.033,0.051,
41,4G_4G,0.029,0.045,
42,4G_4G,0.04,0.049,
43,4G_4G,0.033,0.047,
44,4G_4G,0.026,0.038,
45,4G_4G,0.026,0.041,
46,4G_4G,0.026,0.041,
47,4G_4G,0.025,0.04,
48,4G_4G,0.028,0.04,
49,4G_4G,0.025,0.038,
50,4G_4G,0.031,0.047,
51,4G_4G,0.032,0.05,
52,4G_4G,0.025,0.04,
53,4G_4G,0.02,0.035,
54,4G_4G,0.018,0.032,
55,4G_4G,0.033,0.047,
56,4G_4G,0.025,0.039,
57,4G_4G,0.03,0.048,
58,4G_4G,0.029,0.043,
59,4G_4G,0.031,0.046,
60,4G_4G,0.027,0.043,
61,4G_4G,0.028,0.042,
62,4G_4G,0.025,0.04,
63,4G_4G,0.032,0.055,
64,4G_4G,0.036,0.055,
65,4G_4G,0.028,0.045,
66,4G_4G,0.044,0.058,
67,4G_4G,0.03,0.046,
68,4G_4G,0.028,0.037,
69,4G_4G,0.029,0.047,
70,4G_4G,0.026,0.038,
71,4G_4G,0.029,0.045,
72,4G_4G,0.028,0.043,
73,4G_4G,0.032,0.042,
74,4G_4G,0.02,0.036,
75,4G_4G,0.021,0.033,
76,4G_4G,0.022,0.04,
77,4G_4G,0.039,0.055,
78,4G_4G,0.023,0.032,
