,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,4G_4G,0.019,0.037,
1,4G_4G,0.031,0.05,
2,4G_4G,0.03,0.046,
3,4G_4G,0.027,0.041,
4,4G_4G,0.044,0.054,
5,4G_4G,0.022,0.04,
6,4G_4G,0.019,0.033,
7,4G_4G,0.02,0.035,
8,4G_4G,0.016,0.028,
9,4G_4G,0.015,0.025,
10,4G_4G,0.015,0.026,
11,4G_4G,0.024,0.04,
12,4G_4G,0.02,0.037,
13,4G_4G,0.025,0.042,
14,4G_4G,0.027,0.045,
15,4G_4G,0.026,0.036,
16,4G_4G,0.023,0.033,
17,4G_4G,0.026,0.045,
18,4G_4G,0.023,0.038,
19,4G_4G,0.032,0.051,
20,4G_4G,0.015,0.032,
21,4G_4G,0.034,0.051,
22,4G_4G,0.037,0.048,
23,4G_4G,0.026,0.044,
24,4G_4G,0.024,0.038,
25,4G_4G,0.026,0.043,
26,4G_4G,0.031,0.052,
27,4G_4G,0.031,0.045,
28,4G_4G,0.029,0.043,
29,4G_4G,0.029,0.04,
30,4G_4G,0.03,0.048,
31,4G_4G,0.033,0.046,
32,4G_4G,0.043,0.055,
33,4G_4G,0.031,0.045,
34,4G_4G,0.038,0.053,
35,4G_4G,0.032,0.05,
36,4G_4G,0.021,0.035,
37,4G_4G,0.016,0.031,
38,4G_4G,0.018,0.032,
39,4G_4G,0.018,0.031,
40,4G_4G,0.017,0.028,
41,4G_4G,0.02,0.035,
42,4G_4G,0.024,0.038,
43,4G_4G,0.027,0.042,
44,4G_4G,0.029,0.048,
45,4G_4G,0.027,0.037,
46,4G_4G,0.026,0.041,
47,4G_4G,0.023,0.032,
48,4G_4G,0.025,0.038,
49,4G_4G,0.031,0.051,
50,4G_4G,0.026,0.036,
51,4G_4G,0.022,0.034,
52,4G_4G,0.024,0.036,
53,4G_4G,0.017,0.027,
54,4G_4G,0.016,0.032,
55,4G_4G,0.023,0.035,
56,4G_4G,0.021,0.039,
57,4G_4G,0.023,0.04,
58,4G_4G,0.026,0.043,
59,4G_4G,0.027,0.041,
60,4G_4G,0.03,0.04,
61,4G_4G,0.031,0.048,
62,4G_4G,0.023,0.032,
63,4G_4G,0.029,0.045,
64,4G_4G,0.025,0.041,
65,4G_4G,0.038,0.054,
66,4G_4G,0.033,0.052,
67,4G_4G,0.023,0.043,
68,4G_4G,0.024,0.038,
69,4G_4G,0.029,0.041,
70,4G_4G,0.022,0.034,
71,4G_4G,0.03,0.046,
72,4G_4G,0.03,0.048,
73,4G_4G,0.029,0.049,
74,4G_4G,0.019,0.035,
75,4G_4G,0.019,0.033,
76,4G_4G,0.029,0.048,
77,4G_4G,0.027,0.043,
78,4G_4G,0.03,0.044,
79,4G_4G,0.032,0.043,
80,4G_4G,0.026,0.036,
81,4G_4G,0.018,0.035,
82,4G_4G,0.023,0.041,
83,4G_4G,0.023,0.039,
84,4G_4G,0.03,0.042,
85,4G_4G,0.026,0.042,
86,4G_4G,0.025,0.033,
87,4G_4G,0.024,0.036,
88,4G_4G,0.026,0.038,
89,4G_4G,0.026,0.042,
90,4G_4G,0.028,0.039,
91,4G_4G,0.023,0.037,
92,4G_4G,0.03,0.046,
93,4G_4G,0.022,0.037,
94,4G_4G,0.027,0.044,
95,4G_4G,0.028,0.038,
96,4G_4G,0.028,0.042,
97,4G_4G,0.023,0.038,
98,4G_4G,0.022,0.032,
99,4G_4G,0.018,0.032,
100,4G_4G,0.015,0.03,
101,4G_4G,0.018,0.036,
102,4G_4G,0.028,0.046,
103,4G_4G,0.027,0.042,
104,4G_4G,0.028,0.043,
105,4G_4G,0.026,0.038,
106,4G_4G,0.022,0.038,
107,4G_4G,0.02,0.037,
108,4G_4G,0.032,0.048,
109,4G_4G,0.039,0.056,
110,4G_4G,0.03,0.045,
111,4G_4G,0.043,0.055,
112,4G_4G,0.037,0.047,
113,4G_4G,0.03,0.044,
114,4G_4G,0.024,0.04,
115,4G_4G,0.038,0.048,
116,4G_4G,0.037,0.055,
117,4G_4G,0.026,0.035,
118,4G_4G,0.033,0.047,
119,4G_4G,0.027,0.042,
120,4G_4G,0.031,0.045,
121,4G_4G,0.034,0.045,
122,4G_4G,0.028,0.046,
123,4G_5GNSA,0.068,0.138,0.306
124,5GNSA_5GChange,0.033,,0.095
125,4G_4G,0.058,0.075,
126,4G_4G,0.031,0.049,
127,4G_4G,0.025,0.037,
128,4G_4G,0.018,0.036,
129,4G_4G,0.023,0.042,
130,4G_4G,0.017,0.034,
131,4G_4G,0.024,0.042,
132,4G_4G,0.022,0.036,
133,4G_4G,0.019,0.029,
134,4G_4G,0.02,0.032,
135,4G_4G,0.017,0.032,
136,4G_4G,0.022,0.038,
137,4G_4G,0.018,0.03,
138,4G_4G,0.018,0.035,
139,4G_4G,0.017,0.031,
140,4G_4G,0.019,0.029,
141,4G_4G,0.017,0.032,
142,4G_4G,0.019,0.035,
143,4G_4G,0.02,0.032,
144,4G_4G,0.017,0.027,
145,4G_4G,0.018,0.033,
146,4G_4G,0.018,0.03,
147,4G_4G,0.019,0.035,
148,4G_4G,0.019,0.03,
