,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
135,5GNSA_4GChange,0.02,0.037,0.123
136,4G_4G,0.021,0.038,
137,4G_4G,0.026,0.042,
138,4G_4G,0.024,0.043,0.306
139,5GNSA_4GChange,0.018,0.034,0.09
140,5GNSA_5GChange,0.011,,0.539
141,5GNSA_4GChange,0.024,0.04,0.539
142,5GNSA_5GChange,0.01,,0.088
143,5GNSA_5GChange,0.011,,0.487
144,5GNSA_4GChange,0.038,0.051,0.14
145,5GNSA_5GChange,0.011,,0.074
146,5GNSA_5GChange,0.011,,0.115
147,5GNSA_4GChange,0.036,0.053,0.094
148,5GNSA_5GChange,0.012,,0.103
149,5GNSA_4GChange,0.036,0.046,0.132
150,5GNSA_5GChange,0.013,,0.173
151,5GNSA_4GChange,0.043,0.055,0.082
152,5GNSA_5GChange,0.011,,0.139
153,5GNSA_5GChange,0.011,,0.082
154,5GNSA_4GChange,0.043,0.058,0.111
155,5GNSA_4GChange,0.041,0.053,0.136
156,5GNSA_4GChange,0.022,0.04,0.06
157,5GNSA_4GChange,0.024,0.04,0.118
158,5GNSA_4GChange,0.047,0.058,0.09
159,4G_4G,0.018,0.028,
160,4G_4G,0.025,0.044,
161,4G_4G,0.028,0.045,0.139
162,4G_4G,0.026,0.058,
163,4G_4G,0.023,0.034,
164,4G_4G,0.021,0.036,
165,4G_4G,0.022,0.039,
166,4G_4G,0.017,0.035,
167,4G_4G,0.018,0.029,
168,4G_4G,0.028,0.042,0.547
169,5GNSA_5GChange,0.017,,0.167
170,5GNSA_4GChange,0.039,0.055,0.084
171,4G_4G,0.029,0.041,0.266
172,5GNSA_4GChange,0.044,0.054,0.131
173,5GNSA_5GChange,0.02,,0.086
174,5GNSA_5GChange,0.014,,0.096
175,5GNSA_5GChange,0.013,,0.112
176,4G_4G,0.029,0.046,0.141
177,5GNSA_4GChange,0.039,0.053,0.095
178,4G_4G,0.026,0.041,
179,4G_4G,0.027,0.038,
180,4G_4G,0.035,0.052,0.534
181,5GNSA_4GChange,0.045,0.059,0.381
182,5GNSA_5GChange,0.012,,0.607
183,5GNSA_4GChange,0.048,0.059,0.092
184,5GNSA_4GChange,0.047,0.063,0.091
185,5GNSA_5GChange,0.02,,0.518
186,5GNSA_5GChange,0.04,,0.188
187,5GNSA_5GChange,0.014,,0.522
188,5GNSA_4GChange,0.044,0.055,0.537
189,5GNSA_5GChange,0.019,,0.542
190,5GNSA_4GChange,0.038,0.058,0.1
191,5GNSA_4GChange,0.039,0.077,0.629
192,4G_4G,0.02,0.537,0.134
193,5GNSA_5GChange,0.015,,0.693
194,5GNSA_5GChange,0.011,,0.119
195,5GNSA_5GChange,0.013,,0.099
196,5GNSA_5GChange,0.016,,0.107
197,5GNSA_5GChange,0.019,,0.503
198,5GNSA_5GChange,0.013,,0.109
199,5GNSA_4GChange,0.038,0.054,0.232
200,5GNSA_5GChange,0.013,,0.144
201,5GNSA_4GChange,0.049,0.061,0.094
202,4G_4G,0.025,0.044,
203,4G_4G,0.027,0.042,
204,4G_4G,0.026,0.043,
205,5GNSA_4GChange,0.039,0.055,0.11
206,5GNSA_4GChange,0.018,0.032,0.33
207,5GNSA_5GChange,0.014,,0.088
208,5GNSA_4GChange,0.039,0.056,0.119
209,5GNSA_4GChange,0.043,0.054,0.112
210,5GNSA_4GChange,0.041,0.053,0.086
211,5GNSA_5GChange,0.019,,0.131
212,5GNSA_5GChange,0.013,,0.143
213,5GNSA_4GChange,0.042,0.062,0.104
214,5GNSA_4GChange,0.042,0.061,0.123
215,5GNSA_5GChange,0.014,,0.137
216,5GNSA_4GChange,0.046,0.058,0.111
217,5GNSA_4GChange,0.039,0.055,0.537
218,5GNSA_5GChange,0.015,,0.175
219,5GNSA_4GChange,0.038,0.052,0.447
220,5GNSA_4GChange,0.041,0.057,0.11
221,5GNSA_4GChange,0.025,0.042,0.064
222,5GNSA_4GChange,0.045,0.063,0.088
223,4G_4G,0.027,0.046,0.127
224,5GNSA_4GChange,0.043,0.059,0.151
225,5GNSA_4GChange,0.026,0.038,0.085
226,5GNSA_4GChange,0.04,0.057,0.109
227,4G_4G,0.024,0.038,
228,4G_4G,0.024,0.039,
229,5GNSA_4GChange,0.019,0.036,0.059
230,5GNSA_5GChange,0.018,,0.091
231,5GNSA_4GChange,0.047,0.059,0.091
232,5GNSA_4GChange,0.022,0.038,0.124
233,5GNSA_4GChange,0.038,0.05,0.122
234,5GNSA_4GChange,0.019,0.04,0.124
235,5GNSA_4GChange,0.024,0.035,0.197
236,5GNSA_4GChange,0.019,0.032,0.068
237,5GNSA_4GChange,0.041,0.06,0.122
238,5GNSA_4GChange,0.018,0.052,0.075
239,4G_4G,0.022,0.031,
240,4G_4G,0.024,0.035,
241,4G_4G,0.027,0.046,
242,4G_4G,0.024,0.039,0.108
243,5GNSA_5GChange,0.012,,0.146
244,5GNSA_4GChange,0.04,0.052,0.07
245,5GNSA_5GChange,0.013,,0.518
246,5GNSA_5GChange,0.014,,0.512
247,5GNSA_4GChange,0.047,0.064,0.709
248,5GNSA_5GChange,0.02,,0.144
249,5GNSA_4GChange,0.049,0.066,0.118
250,5GNSA_5GChange,0.02,,0.151
251,5GNSA_5GChange,0.015,,0.119
252,5GNSA_5GChange,0.014,,0.103
253,5GNSA_4GChange,0.037,0.053,0.148
254,5GNSA_4GChange,0.045,0.059,0.327
255,5GNSA_5GChange,0.015,,0.121
256,5GNSA_4GChange,0.043,0.055,0.138
257,5GNSA_4GChange,0.038,0.055,0.198
258,5GNSA_4GChange,0.043,0.057,0.135
259,5GNSA_5GChange,0.022,,0.16
260,5GNSA_4GChange,0.04,0.052,0.2
261,5GNSA_5GChange,0.024,,0.166
262,5GNSA_4GChange,0.038,0.055,0.133
263,5GNSA_5GChange,0.014,,0.132
264,5GNSA_5GChange,0.014,,0.088
265,5GNSA_4G5GChange,0.018,0.255,0.263
266,5GNSA_4GChange,0.02,0.034,0.092
267,5GNSA_4GChange,0.042,0.056,0.104
268,5GNSA_5GChange,0.014,,0.112
269,5GNSA_4GChange,0.048,0.062,0.09
270,5GNSA_5GChange,0.013,,0.629
271,5GNSA_5GChange,0.011,,0.155
272,5GNSA_5GChange,0.012,,0.083
273,5GNSA_5GChange,0.012,,0.095
274,5GNSA_5GChange,0.011,,0.253
275,5GNSA_5GChange,0.013,,0.063
276,5GNSA_5GChange,0.012,,0.141
277,5GNSA_5GChange,0.011,,0.082
278,5GNSA_5GChange,0.013,,0.06
279,5GNSA_5GChange,0.012,,0.148
280,5GNSA_5GChange,0.012,,0.136
281,5GNSA_5GChange,0.012,,0.108
282,5GNSA_5GChange,0.013,,0.087
283,5GNSA_5GChange,0.013,,0.147
284,5GNSA_5GChange,0.012,,0.074
285,5GNSA_5GChange,0.01,,0.116
286,5GNSA_5GChange,0.013,,0.078
287,5GNSA_5GChange,0.012,,0.065
288,5GNSA_5GChange,0.012,,0.079
289,5GNSA_4GChange,0.018,0.033,0.098
290,5GNSA_4GChange,0.051,0.067,0.189
291,5GNSA_4GChange,0.039,0.053,0.105
292,5GNSA_4GChange,0.019,0.031,0.09
293,5GNSA_4GChange,0.024,0.04,0.075
294,5GNSA_4GChange,0.039,0.057,0.116
295,5GNSA_4GChange,0.016,0.028,0.09
296,5GNSA_4GChange,0.022,0.038,0.113
297,5GNSA_4GChange,0.039,0.049,0.128
298,5GNSA_4GChange,0.018,0.029,0.431
299,5GNSA_4GChange,0.027,0.037,0.306
300,5GNSA_4GChange,0.023,0.04,0.082
301,5GNSA_4GChange,0.038,0.057,0.078
302,5GNSA_4GChange,0.019,0.03,0.072
303,5GNSA_4GChange,0.043,0.061,0.069
304,5GNSA_4GChange,0.037,0.052,0.069
305,5GNSA_4GChange,0.028,0.046,0.08
306,5GNSA_4GChange,0.038,0.051,0.062
307,5GNSA_4G5GChange,0.021,0.03,0.075
308,5GNSA_4GChange,0.044,0.061,0.081
309,5GNSA_5GChange,0.012,,0.094
310,5GNSA_4GChange,0.036,0.051,0.07
311,5GNSA_4GChange,0.021,0.04,0.063
312,5GNSA_4G5GChange,0.039,0.055,0.32
313,5GNSA_4GChange,0.022,0.037,0.093
314,5GNSA_5GChange,0.02,,0.167
315,4G_4G,0.021,0.052,
316,4G_4G,0.026,0.041,
317,4G_4G,0.015,0.028,0.141
318,4G_4G,0.014,0.035,
319,4G_4G,0.017,0.033,
320,4G_4G,0.015,0.025,
321,5GNSA_4GChange,0.02,0.029,0.078
322,5GNSA_4GChange,0.043,0.06,0.219
323,5GNSA_4GChange,0.019,0.036,0.125
324,5GNSA_5GChange,0.013,,0.145
325,5GNSA_5GChange,0.012,,0.077
326,5GNSA_5GChange,0.013,,0.105
327,5GNSA_4GChange,0.027,0.041,0.21
328,5GNSA_5GChange,0.019,,0.116
329,5GNSA_5GChange,0.018,,0.126
330,5GNSA_4GChange,0.038,0.051,0.13
331,5GNSA_4GChange,0.026,0.045,0.117
332,5GNSA_4G5GChange,0.027,0.04,0.072
333,5GNSA_4GChange,0.047,0.065,0.074
334,5GNSA_4GChange,0.024,0.036,0.142
335,5GNSA_5GChange,0.019,,0.093
336,5GNSA_5GChange,0.02,,0.127
337,5GNSA_4GChange,0.039,0.055,0.107
338,5GNSA_4GChange,0.038,0.056,0.118
339,5GNSA_5GChange,0.015,,0.102
340,5GNSA_4GChange,0.042,0.053,0.156
341,5GNSA_4GChange,0.022,0.041,0.129
342,5GNSA_5GChange,0.016,,0.332
343,5GNSA_5GChange,0.013,,0.756
344,5GNSA_5GChange,0.014,,0.672
345,5GNSA_4GChange,0.041,0.061,0.483
346,5GNSA_5GChange,0.019,,0.142
347,5GNSA_5GChange,0.015,,0.08
348,5GNSA_5GChange,0.027,,0.119
349,5GNSA_4GChange,0.041,0.054,0.093
350,5GNSA_4GChange,0.034,0.052,0.13
351,5GNSA_5GChange,0.012,,0.077
352,5GNSA_4G5GChange,0.045,0.056,0.115
353,5GNSA_5GChange,0.014,,0.142
354,5GNSA_5GChange,0.019,,0.17
355,5GNSA_5GChange,0.019,,0.148
356,5GNSA_5GChange,0.019,,0.206
357,5GNSA_4GChange,0.068,0.079,0.106
358,5GNSA_4GChange,0.018,0.031,0.072
359,5GNSA_5GChange,0.014,,0.09
360,5GNSA_5GChange,0.014,,0.088
361,5GNSA_4GChange,0.03,0.041,0.079
362,5GNSA_5GChange,0.015,,0.086
363,5GNSA_4GChange,0.022,0.041,0.072
364,5GNSA_4GChange,0.037,0.051,0.082
365,5GNSA_4GChange,0.022,0.042,0.059
366,5GNSA_4GChange,0.019,0.037,0.058
367,5GNSA_5GChange,0.014,,0.076
368,5GNSA_4G5GChange,0.016,0.027,0.06
369,5GNSA_5GChange,0.013,,0.076
370,5GNSA_4GChange,0.038,0.051,0.085
371,5GNSA_4GChange,0.021,0.032,0.06
372,5GNSA_5GChange,0.021,,0.095
