,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,5GNSA_4GChange,0.017,0.034,0.057
1,4G_5GNSA,0.065,0.132,0.137
2,5GNSA_5GChange,0.028,,0.094
3,5GNSA_5GChange,0.022,,0.08
4,5GNSA_5GChange,0.027,,0.094
5,4G_5GNSA,0.04,0.117,0.068
6,5GNSA_5GChange,0.01,,0.056
7,5GNSA_4GChange,0.029,0.04,0.054
8,4G_5GNSA,0.017,0.06,0.076
9,5GNSA_4GChange,0.049,0.068,0.073
10,5GNSA_4GChange,0.022,0.037,0.063
11,5GNSA_5GChange,0.014,,0.082
12,5GNSA_5GChange,0.015,,0.081
13,5GNSA_5GChange,0.015,,0.077
14,5GNSA_5GChange,0.012,,0.068
15,5GNSA_4GChange,0.05,0.063,0.072
16,5GNSA_5GChange,0.018,,0.079
17,5GNSA_4GChange,0.021,0.038,0.064
18,5GNSA_4G,0.049,0.059,
19,4G_4G,0.036,0.052,
20,4G_4G,0.017,0.027,
21,4G_4G,0.017,0.03,
22,4G_4G,0.018,0.029,
23,4G_4G,0.017,0.031,
24,4G_4G,0.02,0.03,
25,4G_4G,0.033,0.047,
26,4G_4G,0.027,0.041,
27,4G_4G,0.019,0.032,
28,4G_4G,0.026,0.037,
29,4G_4G,0.031,0.046,
30,4G_4G,0.022,0.04,
31,4G_4G,0.023,0.033,
32,4G_4G,0.025,0.037,
33,4G_4G,0.024,0.036,
34,4G_4G,0.027,0.037,
35,4G_4G,0.022,0.034,
36,4G_5GNSA,0.018,0.053,0.103
37,5GNSA_5GChange,0.011,,0.07
38,5GNSA_4G5GChange,0.016,0.026,0.062
39,5GNSA_5GChange,0.013,,0.065
40,5GNSA_5GChange,0.012,,0.056
41,5GNSA_5GChange,0.011,,0.061
42,5GNSA_5GChange,0.012,,0.061
43,5GNSA_5GChange,0.013,,0.062
44,5GNSA_4GChange,0.019,0.034,0.052
45,5GNSA_5GChange,0.013,,0.061
46,5GNSA_5GChange,0.014,,0.062
47,5GNSA_5GChange,0.013,,0.069
48,5GNSA_5GChange,0.011,,0.064
49,5GNSA_5GChange,0.012,,0.061
50,5GNSA_5GChange,0.014,,0.063
51,5GNSA_5GChange,0.016,,0.07
52,5GNSA_4GChange,0.017,0.029,0.052
53,5GNSA_5GChange,0.014,,0.063
54,5GNSA_5GChange,0.013,,0.057
55,5GNSA_5GChange,0.012,,0.067
56,5GNSA_4GChange,0.04,0.055,0.065
57,5GNSA_5GChange,0.013,,0.062
58,5GNSA_4GChange,0.018,0.036,0.05
59,5GNSA_5GChange,0.013,,0.067
60,5GNSA_5GChange,0.012,,0.064
61,5GNSA_5GChange,0.012,,0.06
62,5GNSA_5GChange,0.011,,0.057
63,5GNSA_4GChange,0.016,0.026,0.052
64,5GNSA_5GChange,0.015,,0.06
65,5GNSA_5GChange,0.013,,0.061
66,5GNSA_5GChange,0.014,,0.078
67,5GNSA_5GChange,0.012,,0.067
68,4G_4G,0.029,0.042,
69,4G_4G,0.021,0.036,
70,4G_4G,0.025,0.034,
71,4G_4G,0.016,0.032,
72,4G_4G,0.015,0.028,
73,4G_4G,0.018,0.031,
74,4G_4G,0.017,0.03,
75,4G_4G,0.017,0.034,
76,4G_4G,0.016,0.027,
77,4G_4G,0.017,0.033,
78,4G_4G,0.02,0.036,
79,4G_4G,0.019,0.029,
80,4G_4G,0.02,0.032,
81,4G_4G,0.019,0.038,
82,4G_4G,0.016,0.026,
83,4G_4G,0.026,0.045,
84,4G_4G,0.019,0.034,
85,4G_4G,0.032,0.047,
86,4G_4G,0.03,0.047,
87,4G_4G,0.031,0.051,
88,4G_4G,0.032,0.055,
89,4G_4G,0.033,0.048,
90,4G_4G,0.033,0.051,
91,4G_4G,0.027,0.04,
92,4G_4G,0.027,0.046,
93,4G_4G,0.021,0.04,
94,4G_4G,0.027,0.039,
95,4G_4G,0.017,0.028,
96,4G_4G,0.024,0.037,
97,4G_4G,0.025,0.045,
98,4G_4G,0.017,0.036,
99,4G_4G,0.027,0.043,
100,4G_4G,0.021,0.037,
101,4G_4G,0.013,0.031,
102,4G_4G,0.017,0.037,
103,4G_4G,0.021,0.034,
104,4G_4G,0.022,0.036,
105,4G_4G,0.02,0.037,
106,4G_4G,0.022,0.032,
107,4G_4G,0.02,0.034,
108,4G_4G,0.02,0.035,
109,4G_4G,0.027,0.039,
110,4G_4G,0.016,0.029,
111,4G_4G,0.019,0.038,
112,4G_4G,0.02,0.032,
113,4G_4G,0.019,0.033,
114,4G_4G,0.016,0.037,
115,4G_4G,0.017,0.031,
116,4G_4G,0.016,0.034,
117,4G_4G,0.02,0.032,
118,4G_4G,0.018,0.028,
119,4G_4G,0.02,0.037,
120,4G_4G,0.021,0.033,
121,4G_4G,0.021,0.038,
122,4G_4G,0.021,0.035,
123,4G_4G,0.023,0.036,
124,4G_4G,0.022,0.031,
125,4G_4G,0.018,0.028,
126,4G_4G,0.021,0.032,
127,4G_4G,0.016,0.03,
128,4G_4G,0.017,0.026,
129,4G_4G,0.017,0.031,
130,4G_4G,0.022,0.034,
131,4G_4G,0.018,0.033,
132,4G_4G,0.021,0.032,
133,4G_4G,0.017,0.028,
134,4G_4G,0.028,0.043,
135,4G_4G,0.022,0.04,
136,4G_4G,0.018,0.036,
137,4G_4G,0.021,0.034,
138,4G_4G,0.035,0.053,
139,4G_4G,0.03,0.039,
140,4G_4G,0.024,0.041,
141,4G_4G,0.016,0.028,
142,4G_4G,0.016,0.033,
143,4G_4G,0.017,0.031,
144,4G_4G,0.018,0.028,
145,4G_4G,0.017,0.028,
146,4G_4G,0.029,0.041,
147,4G_4G,0.027,0.045,
148,4G_4G,0.031,0.043,
149,4G_4G,0.027,0.042,
150,4G_4G,0.03,0.045,
151,4G_4G,0.027,0.049,
