,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,5GSA_5GSA,,,0.049
1,5GSA_5GSA,,,0.045
2,5GSA_5GSA,,,0.047
3,5GSA_5GSA,,,0.048
4,5GSA_5GSA,,,0.046
5,5GSA_5GSA,,,0.049
6,5GSA_5GSA,,,0.047
7,5GSA_5GSA,,,0.047
8,5GSA_5GSA,,,0.049
9,5GSA_5GSA,,,0.047
10,5GSA_5GSA,,,0.048
11,5GSA_5GSA,,,0.047
12,5GSA_5GSA,,,0.049
13,5GSA_5GSA,,,0.049
14,5GSA_5GSA,,,0.047
15,5GSA_5GSA,,,0.049
16,5GSA_5GSA,,,0.049
17,5GSA_5GSA,,,0.049
18,5GSA_5GSA,,,0.047
19,5GSA_5GSA,,,0.047
20,5GSA_5GSA,,,0.047
21,5GSA_5GSA,,,0.048
22,5GSA_5GSA,,,0.047
23,5GSA_5GSA,,,0.047
24,5GSA_5GSA,,,0.046
25,5GSA_5GSA,,,0.046
26,5GSA_5GSA,,,0.048
27,5GSA_5GSA,,,0.048
28,5GSA_5GSA,,,0.048
29,5GSA_5GSA,,,0.047
30,5GSA_5GSA,,,0.049
31,5GSA_5GSA,,,0.047
32,5GSA_5GSA,,,0.047
33,5GSA_5GSA,,,0.047
34,5GSA_5GSA,,,0.049
35,5GSA_5GSA,,,0.048
36,5GSA_5GSA,,,0.049
37,5GSA_5GSA,,,0.048
38,5GSA_5GSA,,,0.046
39,5GSA_5GSA,,,0.048
40,5GSA_5GSA,,,0.049
41,5GSA_5GSA,,,0.048
42,5GSA_5GSA,,,0.046
43,5GSA_5GSA,,,0.048
44,5GSA_5GSA,,,0.049
45,5GSA_5GSA,,,0.047
46,5GSA_5GSA,,,0.048
47,5GSA_5GSA,,,0.047
48,5GSA_5GSA,,,0.049
49,5GSA_5GSA,,,0.046
50,5GSA_5GSA,,,0.049
51,5GSA_5GSA,,,0.048
52,5GSA_5GSA,,,0.048
53,5GSA_5GSA,,,0.049
54,5GSA_5GSA,,,0.047
55,5GSA_5GSA,,,0.049
