HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
4G_4G,0.023,0.034,
4G_4G,0.025,0.034,
4G_5GNSA,0.026,0.061,0.082
5GNSA_5GChange,0.014,,0.076
5GNSA_4GChange,0.017,0.036,0.06
4G_5GNSA,0.021,0.058,0.099
4G_5GNSA,0.031,0.113,0.075
5GNSA_5GChange,0.016,,0.078
5GNSA_5GChange,0.022,,0.083
5GNSA_4G,0.054,0.074,
4G_5GNSA,0.032,0.061,0.076
5GNSA_5GChange,0.015,,0.069
5GNSA_5GChange,0.02,,0.08
5GNSA_5GChange,0.015,,0.077
5GNSA_5GChange,0.026,,0.087
5GNSA_4GChange,0.023,0.032,0.063
4G_5GNSA,0.036,0.105,0.066
5GNSA_5GChange,0.017,,0.071
4G_4G,0.031,0.045,
4G_5GNSA,0.04,0.107,0.065
5GNSA_5GChange,0.019,,0.079
5GNSA_4GChange,0.046,0.056,0.074
5GNSA_4GChange,0.018,0.032,0.062
5GNSA_4GChange,0.035,0.044,0.062
5GNSA_5GChange,0.022,,0.079
5GNSA_5GChange,0.022,,0.081
5GNSA_5GChange,0.014,,0.077
5GNSA_5GChange,0.019,,0.072
4G_5GNSA,0.029,0.058,0.075
5GNSA_4G,0.036,0.048,
4G_5GNSA,0.026,0.062,0.072
5GNSA_5GChange,0.024,,0.084
5GNSA_4G,0.038,0.054,
4G_5GNSA,0.031,0.061,0.078
5GNSA_5GChange,0.014,,0.064
4G_5GNSA,0.029,0.066,0.076
4G_5GNSA,0.028,0.066,0.081
5GNSA_4GChange,0.023,0.036,0.067
5GNSA_5GChange,0.02,,0.082
4G_5GNSA,0.026,0.067,0.091
5GNSA_4GChange,0.067,0.084,0.092
5GNSA_5GChange,0.023,,0.082
5GNSA_5GChange,0.02,,0.08
5GNSA_5GChange,0.023,,0.083
5GNSA_4GChange,0.08,0.092,0.1
5GNSA_4GChange,0.041,0.054,0.066
5GNSA_5GChange,0.014,,0.073
5GNSA_4GChange,0.038,0.055,0.074
4G_5GNSA,0.029,0.071,0.078
4G_4G,0.056,0.071,
4G_5GNSA,0.02,0.059,0.063
5GNSA_5GChange,0.046,,0.102
5GNSA_4G,0.024,0.056,
4G_5GNSA,0.02,0.051,0.065
5GNSA_5GChange,0.013,,0.065
5GNSA_4G,0.038,0.049,
4G_5GNSA,0.021,0.058,0.072
4G_4G,0.034,0.051,
4G_5GNSA,0.02,0.065,0.076
5GNSA_5GChange,0.013,,0.067
4G_5GNSA,0.029,0.068,0.28
5GNSA_4GChange,0.031,0.041,0.06
5GNSA_4G,0.025,0.046,
4G_5GNSA,0.035,0.069,0.079
5GNSA_5GChange,0.021,,0.082
4G_5GNSA,0.022,0.058,0.076
4G_4G,0.023,0.039,
