HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.05
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.051
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.05
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.044
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.044
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.05
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.035
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.035
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.05
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.045
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.046
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.047
5GSA_5GSA,,,0.051
