HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.014,,0.104
5GNSA_4GChange,0.027,0.046,0.142
5GNSA_4GChange,0.022,0.042,0.107
5GNSA_4GChange,0.025,0.036,0.102
5GNSA_4GChange,0.021,0.032,0.058
5GNSA_4GChange,0.024,0.036,0.119
5GNSA_4GChange,0.024,0.04,0.058
5GNSA_4GChange,0.026,0.039,0.115
5GNSA_4GChange,0.022,0.038,0.067
5GNSA_4GChange,0.025,0.042,0.055
5GNSA_5GChange,0.016,,0.107
5GNSA_5GChange,0.016,,0.113
5GNSA_5GChange,0.023,,0.116
5GNSA_4GChange,0.022,0.032,0.075
5GNSA_5GChange,0.014,,0.123
5GNSA_5GChange,0.015,,0.108
5GNSA_5GChange,0.012,,0.14
5GNSA_4GChange,0.025,0.036,0.139
5GNSA_5GChange,0.012,,0.122
5GNSA_4GChange,0.019,0.029,0.075
5GNSA_5GChange,0.013,,0.127
5GNSA_4GChange,0.024,0.04,0.059
5GNSA_4GChange,0.02,0.037,0.116
5GNSA_5GChange,0.011,,0.119
5GNSA_4GChange,0.025,0.04,0.066
5GNSA_4GChange,0.026,0.042,0.121
5GNSA_4GChange,0.024,0.039,0.085
5GNSA_4GChange,0.022,0.036,0.071
5GNSA_5GChange,0.024,,0.128
5GNSA_5GChange,0.012,,0.102
5GNSA_5GChange,0.014,,0.115
5GNSA_4GChange,0.024,0.034,0.097
5GNSA_4GChange,0.021,0.033,0.076
5GNSA_5GChange,0.021,,0.142
5GNSA_4GChange,0.023,0.04,0.119
5GNSA_4GChange,0.016,0.033,0.086
5GNSA_5GChange,0.012,,0.095
5GNSA_5GChange,0.014,,0.137
5GNSA_5GChange,0.012,,0.122
5GNSA_5GChange,0.02,,0.119
5GNSA_4GChange,0.024,0.034,0.1
5GNSA_4GChange,0.021,0.038,0.084
5GNSA_4GChange,0.024,0.041,0.107
5GNSA_5GChange,0.012,,0.144
